timeFMT,donor2acceptor,value,id,cage
1,OO,-0.01663054,1,1
2,OO,-0.010875252,1,1
3,OO,-0.01924658,1,1
4,OO,-0.023432245,1,1
5,OO,-0.027356305,1,1
6,OO,-0.044622169,1,1
7,OO,-0.061364825,1,1
8,OO,-0.072875402,1,1
9,OO,-0.10348307,1,1
10,OO,-0.061364825,1,1
11,OO,,1,1
12,OO,,1,1
13,OO,,1,1
14,OO,,1,1
15,OO,,1,1
16,OO,,1,1
17,OO,,1,1
19,OO,,1,1
21,OO,,1,1
24,OO,,1,1
28,OO,,1,1
31,OO,,1,1
35,OO,,1,1
41,OO,,1,1
49,OO,,1,1
1,OO,0.004538578,2,2
2,OO,-0.00781644,2,2
3,OO,-0.008572869,2,2
4,OO,-0.008320726,2,2
5,OO,-0.016893596,2,2
6,OO,-0.062027231,2,2
7,OO,-0.072617247,2,2
8,OO,-0.103378719,2,2
9,OO,-0.12380232,2,2
10,OO,-0.106656581,2,2
11,OO,-0.099596571,2,2
12,OO,-0.104135149,2,2
13,OO,-0.112455875,2,2
14,OO,-0.146747352,2,2
15,OO,-0.142965204,2,2
16,OO,-0.12934947,2,2
17,OO,-0.113464448,2,2
19,OO,-0.105900151,2,2
21,OO,-0.069339385,2,2
24,OO,-0.091527988,2,2
28,OO,-0.041351488,2,2
31,OO,-0.031770045,2,2
35,OO,-0.128845184,2,2
41,OO,-0.044125063,2,2
49,OO,-0.020927887,2,2
1,OO,-0.000234082,3,2
2,OO,0.001872659,3,2
3,OO,-0.023876404,3,2
4,OO,-0.025983146,3,2
5,OO,-0.007724719,3,2
6,OO,-0.030196629,3,2
7,OO,-0.066245318,3,2
8,OO,-0.141853933,3,2
9,OO,-0.175561798,3,2
10,OO,-0.207162921,3,2
11,OO,-0.219569288,3,2
12,OO,-0.218867041,3,2
13,OO,-0.191479401,3,2
14,OO,-0.191947566,3,2
15,OO,-0.205758427,3,2
16,OO,-0.214419476,3,2
17,OO,-0.215589888,3,2
19,OO,-0.205290262,3,2
21,OO,-0.20411985,3,2
24,OO,-0.211610487,3,2
28,OO,-0.178604869,3,2
31,OO,-0.174625468,3,2
35,OO,-0.226357678,3,2
41,OO,-0.230337079,3,2
49,OO,-0.233848315,3,2
1,OO,0.000276625,4,2
2,OO,-0.005809129,4,2
3,OO,-0.005532503,4,2
4,OO,-0.001106501,4,2
5,OO,-0.025172891,4,2
6,OO,-0.039834025,4,2
7,OO,-0.06417704,4,2
8,OO,-0.112863071,4,2
9,OO,-0.13526971,4,2
10,OO,-0.152143845,4,2
11,OO,-0.12835408,4,2
12,OO,-0.148547718,4,2
13,OO,-0.107330567,4,2
14,OO,-0.122821577,4,2
15,OO,-0.140248963,4,2
16,OO,-0.134439834,4,2
17,OO,-0.129183956,4,2
19,OO,-0.125311203,4,2
21,OO,-0.123098202,4,2
24,OO,-0.123651452,4,2
28,OO,-0.1197787,4,2
31,OO,-0.097372061,4,2
35,OO,-0.125034578,4,2
41,OO,-0.074135546,4,2
49,OO,-0.049515906,4,2
1,OO,-0.000244559,5,2
2,OO,-0.002934703,5,2
3,OO,-0.02910247,5,2
4,OO,-0.024211299,5,2
5,OO,-0.024700416,5,2
6,OO,-0.040596723,5,2
7,OO,-0.074345806,5,2
8,OO,-0.094399609,5,2
9,OO,-0.115920763,5,2
10,OO,-0.122768403,5,2
11,OO,-0.113719736,5,2
12,OO,-0.127904133,5,2
13,OO,-0.103448276,5,2
14,OO,-0.125703106,5,2
15,OO,-0.168745415,5,2
16,OO,-0.162386892,5,2
17,OO,-0.137931034,5,2
19,OO,-0.13352898,5,2
21,OO,-0.120567376,5,2
24,OO,-0.131572512,5,2
28,OO,-0.069699193,5,2
31,OO,-0.09073123,5,2
35,OO,-0.112741502,5,2
41,OO,-0.089263879,5,2
49,OO,-0.063829787,5,2
1,OO,0.017307627,6,1
2,OO,0.008024754,6,1
3,OO,-0.004114387,6,1
4,OO,0.014451358,6,1
5,OO,-0.019823863,6,1
6,OO,-0.037199497,6,1
7,OO,-0.043388078,6,1
8,OO,-0.075521099,6,1
9,OO,-0.080995614,6,1
10,OO,-0.062191846,6,1
11,OO,,6,1
12,OO,,6,1
13,OO,,6,1
14,OO,,6,1
15,OO,,6,1
16,OO,,6,1
17,OO,,6,1
19,OO,,6,1
21,OO,,6,1
24,OO,,6,1
28,OO,,6,1
31,OO,,6,1
35,OO,,6,1
41,OO,,6,1
49,OO,,6,1
1,OO,-0.003104947,7,1
2,OO,-0.013610019,7,1
3,OO,-0.012523287,7,1
4,OO,-0.028462016,7,1
5,OO,-0.020130408,7,1
6,OO,-0.074466984,7,1
7,OO,-0.090043469,7,1
