,id,label,age,treatment,raw_time,timeFMT,timeDSS,FMT,DSS,donor_age,donor2acceptor,label_id,timeBF,timeBO,BF,BO,CHÊ±¼ä,cohousing,primry_order,cage,Alias,Alias2
sample7,7,D0-D1-1,2,2,0,0,0,0,NA,NA,Y2,D1,0,NA,1,NA,0,0,441,D,ABH,
sample8,8,D0-D2-1,2,2,0,0,0,0,NA,NA,Y2,D2,0,NA,1,NA,0,0,442,D,ABH,
sample9,9,D0-D3-1,2,2,0,0,0,0,NA,NA,Y2,D3,0,NA,1,NA,0,0,443,D,ABH,
sample10,10,D0-D4-1,2,2,0,0,0,0,NA,NA,Y2,D4,0,NA,1,NA,0,0,444,D,ABH,
sample11,11,D0-D5-1,2,2,0,0,0,0,NA,NA,Y2,D5,0,NA,1,NA,0,0,445,D,ABH,
sample12,12,D1-D1-1,2,2,1,1,1,0,NA,NA,Y2,D1,1,NA,1,NA,0,0,446,D,ABH,
sample13,13,D1-D2-1,2,2,1,1,1,0,NA,NA,Y2,D2,1,NA,1,NA,0,0,447,D,ABH,
sample14,14,D1-D3-1,2,2,1,1,1,0,NA,NA,Y2,D3,1,NA,1,NA,0,0,448,D,ABH,
sample15,15,D1-D4-1,2,2,1,1,1,0,NA,NA,Y2,D4,1,NA,1,NA,0,0,449,D,ABH,
sample16,16,D1-D5-1,2,2,1,1,1,0,NA,NA,Y2,D5,1,NA,1,NA,0,0,450,D,ABH,
sample17,17,D4-D1-1,2,2,4,4,4,0,NA,NA,Y2,D1,4,NA,1,NA,0,0,451,D,ABH,
sample18,18,D4-D2-1,2,2,4,4,4,0,NA,NA,Y2,D2,4,NA,1,NA,0,0,452,D,ABH,
sample19,19,D4-D3-1,2,2,4,4,4,0,NA,NA,Y2,D3,4,NA,1,NA,0,0,453,D,ABH,
sample20,20,D4-D4-1,2,2,4,4,4,0,NA,NA,Y2,D4,4,NA,1,NA,0,0,454,D,ABH,
sample21,21,D4-D5-1,2,2,4,4,4,0,NA,NA,Y2,D5,4,NA,1,NA,0,0,455,D,ABH,
sample22,22,D7-D1-1,2,2,7,7,7,0,NA,NA,Y2,D1,7,NA,1,NA,0,0,456,D,ABH,
sample23,23,D7-D2-1,2,2,7,7,7,0,NA,NA,Y2,D2,7,NA,1,NA,0,0,457,D,ABH,
sample24,24,D7-D3-1,2,2,7,7,7,0,NA,NA,Y2,D3,7,NA,1,NA,0,0,458,D,ABH,
sample25,25,D7-D4-1,2,2,7,7,7,0,NA,NA,Y2,D4,7,NA,1,NA,0,0,459,D,ABH,
sample26,26,D7-D5-1,2,2,7,7,7,0,NA,NA,Y2,D5,7,NA,1,NA,0,0,460,D,ABH,
sample27,27,D11-D1-1,2,2,11,11,11,0,NA,NA,Y2,D1,11,NA,1,NA,0,0,461,D,ABH,
sample28,28,D11-D2-1,2,2,11,11,11,0,NA,NA,Y2,D2,11,NA,1,NA,0,0,462,D,ABH,
