,id,high1,high56,OO,YO,sum
1,AC106834.1,1,0,0,0,1
2,AC147806.2,1,1,1,0,3
7,AI838599,1,0,0,0,1
18,AU015791,1,0,0,0,1
21,BB123696,1,0,1,1,3
44,Cyp2c55,1,0,0,0,1
45,Cyp2c68,10,0,0,0,10
46,Cyp2c69,10,10,10,0,30
47,Cyp3a25,1,0,0,0,1
48,Cyp3a44,1,0,0,1,2
74,Ighd,10,10,0,10,30
75,Ighm,1,0,0,0,1
76,Ighv1-26,1,1,0,0,2
77,Ighv1-5,10,1,0,0,11
78,Ighv1-59,10,1,0,0,11
79,Ighv1-64,1,1,0,0,2
80,Ighv1-77,1,1,0,0,2
81,Ighv1-80,1,1,0,0,2
82,Ighv1-81,10,0,0,10,20
83,Ighv13-2,1,1,1,0,3
84,Ighv14-3,10,0,0,10,20
85,Ighv14-4,10,0,0,0,10
86,Ighv2-6,10,0,0,10,20
87,Ighv3-3,10,0,0,0,10
88,Ighv3-5,10,0,0,0,10
89,Ighv5-12,1,0,1,1,3
90,Ighv5-9,10,0,10,0,20
91,Ighv5-9-1,10,0,0,0,10
92,Igkv12-41,1,1,1,1,4
93,Igkv12-44,10,0,1,0,11
94,Igkv14-126,1,0,1,1,3
95,Igkv16-104,1,0,0,0,1
96,Igkv3-10,1,1,1,0,3
97,Igkv4-50,1,0,0,0,1
98,Igkv4-58,10,0,10,0,20
99,Igkv4-59,1,1,0,0,2
100,Igkv4-69,1,1,0,0,2
101,Igkv4-91,10,0,0,1,11
102,Igkv6-25,1,0,1,1,3
103,Igkv8-30,10,0,0,10,20
165,AA413626,0,1,0,0,1
167,AC118710.1,0,10,0,0,10
180,AY358078,0,1,0,0,1
227,Ighj1,0,1,0,0,1
228,Ighj2,0,1,0,0,1
229,Ighj3,0,1,0,0,1
230,Ighj4,0,1,0,0,1
231,Ighv1-18,0,1,1,0,2
232,Ighv1-34,0,1,0,0,1
233,Ighv1-42,0,1,1,0,2
234,Ighv1-50,0,1,0,0,1
235,Ighv1-58,0,1,0,0,1
236,Ighv1-63,0,10,1,0,11
237,Ighv1-66,0,1,0,0,1
238,Ighv1-72,0,1,10,0,11
239,Ighv1-82,0,1,0,0,1
240,Ighv1-84,0,1,0,1,2
241,Ighv14-2,0,1,1,1,3
242,Ighv2-2,0,1,1,0,2
243,Ighv2-3,0,1,0,0,1
244,Ighv2-9,0,1,0,1,2
245,Ighv3-6,0,1,0,0,1
246,Ighv9-1,0,10,0,0,10
247,Igkj1,0,1,0,0,1
248,Igkj3,0,1,0,0,1
249,Igkj4,0,1,0,0,1
250,Igkv1-122,0,1,0,0,1
251,Igkv1-88,0,1,1,0,2
252,Igkv1-99,0,10,0,0,10
253,Igkv12-46,0,1,1,0,2
254,Igkv12-98,0,1,1,1,3
255,Igkv13-84,0,1,0,0,1
256,Igkv19-93,0,1,0,0,1
257,Igkv3-5,0,1,0,1,2
258,Igkv4-53,0,1,0,0,1
259,Igkv4-54,0,1,0,0,1
260,Igkv4-57,0,1,0,0,1
261,Igkv4-72,0,1,0,0,1
262,Igkv4-79,0,1,0,0,1
263,Igkv4-86,0,1,0,0,1
264,Igkv5-43,0,1,0,0,1
265,Igkv6-14,0,1,0,0,1
266,Igkv6-15,0,1,0,0,1
267,Igkv6-17,0,1,1,0,2
268,Igkv6-20,0,1,1,0,2
269,Igkv6-32,0,1,0,0,1
270,Igkv9-120,0,1,1,0,2
271,Igkv9-129,0,10,0,0,10
378,Ighg3,0,0,10,10,20
379,Ighv1-47,0,0,10,0,10
380,Ighv1-76,0,0,10,10,20
381,Ighv1-85,0,0,1,0,1
382,Ighv14-1,0,0,1,0,1
383,Ighv7-1,0,0,10,10,20
384,Igkv13-85,0,0,1,0,1
385,Igkv14-111,0,0,1,0,1
386,Igkv14-130,0,0,1,0,1
387,Igkv17-127,0,0,1,1,2
388,Igkv3-7,0,0,1,0,1
389,Igkv4-74,0,0,10,0,10
390,Igkv6-13,0,0,10,0,10
402,mt-Tc,0,0,1,0,1
403,mt-Tn,0,0,1,0,1
404,mt-Ty,0,0,1,0,1
455,Ighg2b,0,0,0,10,10
456,Ighv1-15,0,0,0,1,1
457,Ighv1-22,0,0,0,10,10
458,Ighv1-31,0,0,0,10,10
459,Ighv1-53,0,0,0,10,10
460,Ighv1-9,0,0,0,10,10
461,Ighv10-3,0,0,0,10,10
462,Ighv5-17,0,0,0,10,10
463,Ighv9-3,0,0,0,10,10
464,Igkv1-110,0,0,0,10,10
465,Igkv1-135,0,0,0,10,10
466,Igkv17-121,0,0,0,10,10
467,Igkv4-55,0,0,0,10,10
468,Igkv4-80,0,0,0,10,10
469,Igkv4-90,0,0,0,10,10
470,Igkv8-27,0,0,0,10,10
471,Igkv9-124,0,0,0,10,10
472,Iglc2,0,0,0,10,10
473,Iglc3,0,0,0,10,10
474,Iglj3,0,0,0,10,10
475,Iglv1,0,0,0,10,10
476,Iglv2,0,0,0,10,10
480,mt-Rnr2,0,0,0,1,1
480,AC154200.1,0,0,0,10,10
